GEO_ID,NAME,B27003_001E
39001,"Adams County, Ohio",27497
39003,"Allen County, Ohio",100774
39005,"Ashland County, Ohio",52915
39007,"Ashtabula County, Ohio",94978
39009,"Athens County, Ohio",65217
39011,"Auglaize County, Ohio",45184
39013,"Belmont County, Ohio",64197
39015,"Brown County, Ohio",43017
39017,"Butler County, Ohio",376452
39019,"Carroll County, Ohio",27050
39021,"Champaign County, Ohio",38367
39023,"Clark County, Ohio",133040
39025,"Clermont County, Ohio",202956
39027,"Clinton County, Ohio",41626
39029,"Columbiana County, Ohio",99556
39031,"Coshocton County, Ohio",36166
39033,"Crawford County, Ohio",41253
39035,"Cuyahoga County, Ohio",1232447
39037,"Darke County, Ohio",50918
39039,"Defiance County, Ohio",37869
39041,"Delaware County, Ohio",200222
39043,"Erie County, Ohio",73870
39045,"Fairfield County, Ohio",151573
39047,"Fayette County, Ohio",28292
39049,"Franklin County, Ohio",1282411
39051,"Fulton County, Ohio",41843
39053,"Gallia County, Ohio",29701
39055,"Geauga County, Ohio",93087
39057,"Greene County, Ohio",162702
39059,"Guernsey County, Ohio",38683
39061,"Hamilton County, Ohio",805577
39063,"Hancock County, Ohio",74933
39065,"Hardin County, Ohio",31239
39067,"Harrison County, Ohio",14944
39069,"Henry County, Ohio",26771
39071,"Highland County, Ohio",42552
39073,"Hocking County, Ohio",27858
39075,"Holmes County, Ohio",43079
39077,"Huron County, Ohio",57776
39079,"Jackson County, Ohio",32115
39081,"Jefferson County, Ohio",65614
39083,"Knox County, Ohio",60831
39085,"Lake County, Ohio",227907
39087,"Lawrence County, Ohio",59601
39089,"Licking County, Ohio",172408
39091,"Logan County, Ohio",44910
39093,"Lorain County, Ohio",301415
39095,"Lucas County, Ohio",426306
39097,"Madison County, Ohio",38883
39099,"Mahoning County, Ohio",225662
39101,"Marion County, Ohio",59823
39103,"Medina County, Ohio",176768
39105,"Meigs County, Ohio",22872
39107,"Mercer County, Ohio",40467
39109,"Miami County, Ohio",104310
39111,"Monroe County, Ohio",13805
39113,"Montgomery County, Ohio",523385
39115,"Morgan County, Ohio",14451
39117,"Morrow County, Ohio",34810
39119,"Muskingum County, Ohio",85284
39121,"Noble County, Ohio",12071
39123,"Ottawa County, Ohio",40182
39125,"Paulding County, Ohio",18711
39127,"Perry County, Ohio",35777
39129,"Pickaway County, Ohio",53404
39131,"Pike County, Ohio",27712
39133,"Portage County, Ohio",161441
39135,"Preble County, Ohio",40773
39137,"Putnam County, Ohio",33646
39139,"Richland County, Ohio",114386
39141,"Ross County, Ohio",71236
39143,"Sandusky County, Ohio",58105
39145,"Scioto County, Ohio",73255
39147,"Seneca County, Ohio",54427
39149,"Shelby County, Ohio",48410
39151,"Stark County, Ohio",367654
39153,"Summit County, Ohio",535722
39155,"Trumbull County, Ohio",196897
39157,"Tuscarawas County, Ohio",91366
39159,"Union County, Ohio",53550
39161,"Van Wert County, Ohio",27993
39163,"Vinton County, Ohio",13002
39165,"Warren County, Ohio",221527
39167,"Washington County, Ohio",59750
39169,"Wayne County, Ohio",114966
39171,"Williams County, Ohio",35749
39173,"Wood County, Ohio",128845
39175,"Wyandot County, Ohio",21743
