id,Geographic Area Name,Total people on ph insurance,Total Males on public insurance,total Females on ph-insurance
39001,"Adams County, Ohio",27497,13706,13791
39003,"Allen County, Ohio",100774,50158,50616
39005,"Ashland County, Ohio",52915,25857,27058
39007,"Ashtabula County, Ohio",94978,47000,47978
39009,"Athens County, Ohio",65217,32413,32804
39011,"Auglaize County, Ohio",45184,22420,22764
39013,"Belmont County, Ohio",64197,31708,32489
39015,"Brown County, Ohio",43017,21285,21732
39017,"Butler County, Ohio",376452,184468,191984
39019,"Carroll County, Ohio",27050,13645,13405
39021,"Champaign County, Ohio",38367,19092,19275
39023,"Clark County, Ohio",133040,64500,68540
39025,"Clermont County, Ohio",202956,100006,102950
39027,"Clinton County, Ohio",41626,20608,21018
39029,"Columbiana County, Ohio",99556,49186,50370
39031,"Coshocton County, Ohio",36166,17902,18264
39033,"Crawford County, Ohio",41253,20284,20969
39035,"Cuyahoga County, Ohio",1232447,586874,645573
39037,"Darke County, Ohio",50918,25194,25724
39039,"Defiance County, Ohio",37869,18952,18917
39041,"Delaware County, Ohio",200222,99201,101021
39043,"Erie County, Ohio",73870,36225,37645
39045,"Fairfield County, Ohio",151573,74759,76814
39047,"Fayette County, Ohio",28292,13897,14395
39049,"Franklin County, Ohio",1282411,625829,656582
39051,"Fulton County, Ohio",41843,20791,21052
39053,"Gallia County, Ohio",29701,14625,15076
39055,"Geauga County, Ohio",93087,46132,46955
39057,"Greene County, Ohio",162702,79562,83140
39059,"Guernsey County, Ohio",38683,19298,19385
39061,"Hamilton County, Ohio",805577,389384,416193
39063,"Hancock County, Ohio",74933,37122,37811
39065,"Hardin County, Ohio",31239,15515,15724
39067,"Harrison County, Ohio",14944,7381,7563
39069,"Henry County, Ohio",26771,13192,13579
39071,"Highland County, Ohio",42552,20859,21693
39073,"Hocking County, Ohio",27858,13503,14355
39075,"Holmes County, Ohio",43079,21429,21650
39077,"Huron County, Ohio",57776,28628,29148
39079,"Jackson County, Ohio",32115,15592,16523
39081,"Jefferson County, Ohio",65614,31909,33705
39083,"Knox County, Ohio",60831,29650,31181
39085,"Lake County, Ohio",227907,111559,116348
39087,"Lawrence County, Ohio",59601,29173,30428
39089,"Licking County, Ohio",172408,84507,87901
39091,"Logan County, Ohio",44910,22215,22695
39093,"Lorain County, Ohio",301415,146399,155016
39095,"Lucas County, Ohio",426306,206338,219968
39097,"Madison County, Ohio",38883,18801,20082
39099,"Mahoning County, Ohio",225662,109685,115977
39101,"Marion County, Ohio",59823,29448,30375
39103,"Medina County, Ohio",176768,87837,88931
39105,"Meigs County, Ohio",22872,11445,11427
39107,"Mercer County, Ohio",40467,20490,19977
39109,"Miami County, Ohio",104310,51489,52821
39111,"Monroe County, Ohio",13805,6890,6915
39113,"Montgomery County, Ohio",523385,251624,271761
39115,"Morgan County, Ohio",14451,7252,7199
39117,"Morrow County, Ohio",34810,17474,17336
39119,"Muskingum County, Ohio",85284,41240,44044
39121,"Noble County, Ohio",12071,6359,5712
39123,"Ottawa County, Ohio",40182,20000,20182
39125,"Paulding County, Ohio",18711,9388,9323
39127,"Perry County, Ohio",35777,17934,17843
39129,"Pickaway County, Ohio",53404,26264,27140
39131,"Pike County, Ohio",27712,13723,13989
39133,"Portage County, Ohio",161441,79310,82131
39135,"Preble County, Ohio",40773,20260,20513
39137,"Putnam County, Ohio",33646,16881,16765
39139,"Richland County, Ohio",114386,55436,58950
39141,"Ross County, Ohio",71236,34947,36289
39143,"Sandusky County, Ohio",58105,28876,29229
39145,"Scioto County, Ohio",73255,35245,38010
39147,"Seneca County, Ohio",54427,27171,27256
39149,"Shelby County, Ohio",48410,24407,24003
39151,"Stark County, Ohio",367654,179145,188509
39153,"Summit County, Ohio",535722,260108,275614
39155,"Trumbull County, Ohio",196897,95280,101617
39157,"Tuscarawas County, Ohio",91366,45015,46351
39159,"Union County, Ohio",53550,27133,26417
39161,"Van Wert County, Ohio",27993,13864,14129
39163,"Vinton County, Ohio",13002,6576,6426
39165,"Warren County, Ohio",221527,108801,112726
39167,"Washington County, Ohio",59750,29647,30103
39169,"Wayne County, Ohio",114966,57125,57841
39171,"Williams County, Ohio",35749,17582,18167
39173,"Wood County, Ohio",128845,63562,65283
39175,"Wyandot County, Ohio",21743,10745,10998
