OBJECTID,NLFID,LogPoint,Latitude,Longitude,TrafficA
19503,CLICCR00041**C,5.28,40.079259,-82.723507,301
19504,TMOTTR01460**C,0.09,39.828752,-84.291229,
19505,SMIAIR00075**C,8.61,40.036175,-84.230919,565
19506,TFRATR01594**C,0.43,39.958279,-83.119785,1051
19507,SFRASR00315**N,7.66,40.048996,-83.034022,797
19508,MLAKMR00389**C,0.39,41.645993,-81.35561,711
19509,TCLETR02252**C,0.44,39.187701,-84.265554,676
19510,SFAIIR00070**C,1.92,39.937649,-82.776198,
19511,CHAMCR00112**C,0.12,39.258141,-84.602649,480
19512,SLICSR00310**C,1.39,39.954531,-82.68362,161
19513,CFRACR00061**C,1.84,40.117685,-83.075974,161
19514,TLUCTR02584**C,0,41.516972,-83.737007,227
19515,SHAMIR00275**C,21.610001,39.300191,-84.516981,1275
19516,MMOTMR04642**C,0.48,39.869141,-84.190254,643
19517,CRICCR00320**C,6.05,40.632172,-82.443815,21
19518,TCLATR01121**C,0.21,39.890317,-83.804428,523
19519,SFAIIR00070**C,1.92,39.937649,-82.776198,822
19520,MLAKMR00389**C,0.39,41.645993,-81.35561,711
19521,SFRAIR00270**C,1.26,39.900348,-83.060181,598
19522,MLUCMR01103**C,0.05,41.658483,-83.503265,
19523,SFAIIR00070**C,1.92,39.937649,-82.776198,
19524,CLORCR00033**C,1.77,41.418435,-82.197566,250
19525,SLUCIR00475**N,9.91,41.688841,-83.692133,267
19526,CFRACR00122**C,3.23,39.875368,-82.93226,178
19527,TDELTR01255**C,0.05,40.178852,-82.946273,
19528,SFRAIR00270**C,22.08,40.113007,-83.049282,1518
19529,MMIAMR00701**C,0.1,40.057621,-84.229709,497
19530,TBUTTR02019**C,0.45,39.342914,-84.389493,826
19531,SFRAIR00071**C,29.09,40.123271,-82.973142,1556
19532,MGREMR01294**C,0.04,39.777092,-84.035813,553
19533,CLICCR00041**C,5.28,40.079259,-82.723507,301
19534,TMIATR01150**C,0.32,40.016155,-84.234216,747
19535,SRICUS00030**N,17.42,40.783741,-82.409522,695
